sr_test,sr_pred,toughness_test,toughness_pred
0.004907797,0.004906933,0.7817,0.414894542
0.004905052,0.004906933,0.6628,0.34741749
0.004905773,0.004907028,0.157,0.141849075
0.004903737,0.004904452,0.0976,0.124745446
0.00490639,0.004906838,0.4034,0.434048841
0.004907213,0.004906838,0.3773,0.454176221
0.004905463,0.004905982,0.1987,0.373987718
0.004903692,0.00490275,0.1241,0.163196247
0.004904368,0.004903916,0.3958,0.377872364
0.004903937,0.004904349,0.2705,0.271224533
0.004903079,0.004903094,0.1897,0.102715277
0.004902322,0.00490275,0.0794,0.129389244
0.004902338,0.004902412,1.5888,1.539651868
0.004902301,0.004902253,0.4576,0.500146266
0.004902264,0.004902253,0.6843,0.864661952
0.004902148,0.004902274,2.5133,2.212229855
0.004902152,0.004902152,1.1457,1.235516176
0.004902145,0.004902154,0.3681,0.505932339
0.004902118,0.004902154,0.4482,0.797857253
0.004902226,0.004902133,2.4953,2.32885104
0.004902182,0.004902155,1.3688,1.355166177
0.004902254,0.004902212,0.7327,0.846587677
0.004902127,0.004902155,1.0215,1.180683298
0.004902047,0.004902041,0.6785,0.526809716
0.004902066,0.004902041,0.0912,0.37714522
0.004904447,0.0049058,0.8486,0.346772519
0.004908111,0.0049058,0.3326,0.45113459
0.004903965,0.004904762,0.754,0.295592399
0.004903672,0.00490275,0.1531,0.136536439
0.004902169,0.00490214,2.5968,1.920381301
0.004902101,0.004902098,1.6189,1.63452417
0.004902066,0.004902098,0.6762,0.959778924
0.004902114,0.004902098,1.9331,1.708036163
0.004902447,0.004902287,1.0119,1.148727942
0.004902115,0.004902318,0.529,0.756486246
0.004902098,0.004902212,0.4386,0.251277539
0.004902365,0.004902318,0.901,0.849539659
0.004902223,0.004902287,1.5614,1.406907095
0.004902131,0.004902318,0.896,1.02814995
0.004902308,0.004902212,0.2431,0.419080129
0.004902073,0.004902155,0.7938,0.833306384
0.004902387,0.004902452,1.4276,1.153632782
0.004902405,0.004902279,0.2886,0.755104523
0.004902169,0.004902334,0.0522,0.416681415
0.00490231,0.004902279,0.5242,0.812253711
0.004902854,0.004902504,0.9623,0.897777991
0.004902619,0.004902882,0.2005,0.106926141
0.004902374,0.004902882,0.1856,0.117410552
0.004902451,0.004902504,0.7856,0.819668977
0.004904142,0.004904133,0.5423,0.720119989
0.004902506,0.004902504,0.335,0.346884573
0.004902356,0.004902882,0.0487,0.02217499
0.0049042,0.004904133,0.7008,0.65647631
0.004902269,0.004902156,1.4201,1.394034993
0.004902122,0.004902156,1.4927,1.374110706
0.004902223,0.004902083,1.3624,1.041981617
0.004902191,0.004902179,0.2934,0.106636051
0.004903558,0.004905025,1.2927,1.350801092
0.004902922,0.004904133,1.2092,0.968671435
0.004902613,0.004902996,0.8329,0.774713628
0.00490349,0.004904133,0.9964,1.019217409
0.004910121,0.004915656,0.1331,0.060821231
0.004920289,0.004915656,0.0558,0.233437725
0.004920255,0.004917156,0.0278,0.059983643
0.004916127,0.004915656,0.0797,0.216022789
0.004902497,0.004902222,0.9574,1.606751174
0.004902168,0.004902185,0.939,0.976447242
0.004902268,0.004902248,0.3394,0.41741502
0.00490235,0.004902222,1.0547,1.410457624
0.004902237,0.004902433,0.8466,0.596965044
0.004902612,0.004902828,1.6916,1.416218434
0.004902833,0.004902433,0.6311,0.53238813
0.004902307,0.004902705,1.6547,0.982694763
0.004902791,0.004902882,1.5801,1.392227581
0.004910024,0.00490984,0.2133,0.24927199
0.004907946,0.004906439,0.1045,0.133089956
0.004903206,0.004904452,0.0288,0.053633953
0.004909254,0.00490984,0.2711,0.272459039
