sr_test,sr_pred,fstress_test,fstress_pred
0.004907797,0.004906933,14.8172,15.054145
0.004905052,0.004906933,14.4954,14.024782
0.004905773,0.004907028,5.6061,4.6915
0.004903737,0.004904452,2.4082,3.127326
0.00490639,0.004906838,10.255,9.270194
0.004907213,0.004906838,10.6616,10.824914
0.004905463,0.004905982,5.5139,6.703774
0.004903692,0.00490275,2.6082,3.064677
0.004904368,0.004903916,8.4212,7.658275
0.004903937,0.004904349,4.942,5.503512
0.004903079,0.004903094,3.4839,3.35078
0.004902322,0.00490275,2.2496,2.71648
0.004902338,0.004902412,5.6577,5.574566
0.004902301,0.004902253,2.2644,2.424311
0.004902264,0.004902253,2.9988,3.231914
0.004902148,0.004902274,4.4023,4.738417
0.004902152,0.004902152,2.4561,2.810057
0.004902145,0.004902154,0.8635,1.378522
0.004902118,0.004902154,1.1424,1.646999
0.004902226,0.004902133,5.7713,4.641416
0.004902182,0.004902155,2.4176,2.60058
0.004902254,0.004902212,1.3322,1.468528
0.004902127,0.004902155,1.8564,2.153772
0.004902047,0.004902041,0.9766,2.617503
0.004902066,0.004902041,0.2385,1.091303
0.004904447,0.0049058,10.4526,10.066992
0.004908111,0.0049058,10.4818,11.13509
0.004903965,0.004904762,7.4087,7.394376
0.004903672,0.00490275,2.3356,2.134331
0.004902169,0.00490214,5.2045,4.814923
0.004902101,0.004902098,3.085,3.567817
0.004902066,0.004902098,1.4604,1.919321
0.004902114,0.004902098,3.4829,2.784125
0.004902447,0.004902287,7.0989,7.322965
0.004902115,0.004902318,2.6665,3.740037
0.004902098,0.004902212,1.336,1.080616
0.004902365,0.004902318,3.5676,3.767543
0.004902223,0.004902287,7.9588,7.543114
0.004902131,0.004902318,4.3214,4.056741
0.004902308,0.004902212,1.3631,1.490954
0.004902073,0.004902155,2.2764,2.528675
0.004902387,0.004902452,8.1346,7.198237
0.004902405,0.004902279,2.8134,3.680882
0.004902169,0.004902334,0.762,1.837899
0.00490231,0.004902279,3.7941,4.230072
0.004902854,0.004902504,5.1335,5.151823
0.004902619,0.004902882,1.4946,1.133476
0.004902374,0.004902882,1.2299,1.128008
0.004902451,0.004902504,3.9954,4.049262
0.004904142,0.004904133,7.6765,8.44015
0.004902506,0.004902504,3.5037,3.563507
0.004902356,0.004902882,0.7624,1.064438
0.0049042,0.004904133,7.9145,8.04923
0.004902269,0.004902156,7.0209,7.188608
0.004902122,0.004902156,5.1942,5.042651
0.004902223,0.004902083,3.2341,3.046611
0.004902191,0.004902179,0.8152,0.541811
0.004903558,0.004905025,12.9635,12.772615
0.004902922,0.004904133,8.7807,8.647923
0.004902613,0.004902996,4.7099,5.297626
0.00490349,0.004904133,9.0651,8.814436
0.004910121,0.004915656,5.9658,5.079147
0.004920289,0.004915656,5.6154,6.479927
0.004920255,0.004917156,2.8854,3.200382
0.004916127,0.004915656,7.1376,7.702215
0.004902497,0.004902222,6.1104,6.438803
0.004902168,0.004902185,3.8088,3.980981
0.004902268,0.004902248,2.2828,1.972944
0.00490235,0.004902222,5.9608,6.16377
0.004902237,0.004902433,3.1673,2.940395
0.004902612,0.004902828,6.6221,6.477819
0.004902833,0.004902433,3.3932,2.824516
0.004902307,0.004902705,5.3804,4.867988
0.004902791,0.004902882,8.0489,7.584634
0.004910024,0.00490984,8.1084,7.049735
0.004907946,0.004906439,4.0702,4.547423
0.004903206,0.004904452,1.1915,1.457463
0.004909254,0.00490984,9.8382,8.633626
