sr_pred,ym_pred,sr_test,ym_test
0.004906933,296.8462335,0.004907797,291.8681
0.004906933,294.9905055,0.004905052,287.0571
0.004907028,133.5004855,0.004905773,144.9067
0.004904452,67.136296,0.004903737,54.2925
0.004906838,200.718934,0.00490639,209.8464
0.004906838,215.9629995,0.004907213,222.1336
0.004905982,132.429174,0.004905463,130.5197
0.00490275,68.475488,0.004903692,62.1644
0.004903916,153.1060945,0.004904368,173.2676
0.004904349,107.4178305,0.004903937,102.1577
0.004903094,63.697691,0.004903079,72.0647
0.00490275,56.289901,0.004902322,55.8539
0.004902412,84.91868,0.004902338,77.8449
0.004902253,36.946106,0.004902301,36.8816
0.004902253,47.31696067,0.004902264,45.1306
0.004902274,53.0673395,0.004902148,46.6699
0.004902152,19.394948,0.004902152,20.6561
0.004902154,6.5055325,0.004902145,3.0183
0.004902154,8.728972,0.004902118,5.1284
0.004902133,87.455028,0.004902226,115.7419
0.004902155,37.026222,0.004902182,38.1376
0.004902212,21.5953395,0.004902254,21.448
0.004902155,27.865919,0.004902127,23.1932
0.004902041,18.136138,0.004902047,1.1831
0.004902041,3.9207565,0.004902066,0.3244
0.0049058,221.475399,0.004904447,216.6598
0.0049058,236.0973055,0.004908111,259.075
0.004904762,165.2948415,0.004903965,158.5425
0.00490275,68.0607135,0.004903672,60.6674
0.00490214,85.40163775,0.004902169,82.8236
0.004902098,67.94557827,0.004902101,45.0885
0.004902098,28.222696,0.004902066,16.6086
0.004902098,43.15523775,0.004902114,50.5626
0.004902287,164.6690185,0.004902447,163.7376
0.004902318,75.6397495,0.004902115,57.4677
0.004902212,11.9688145,0.004902098,20.8592
0.004902318,76.786862,0.004902365,71.8967
0.004902287,148.3045817,0.004902223,156.0325
0.004902318,91.690508,0.004902131,101.0629
0.004902212,21.1401175,0.004902308,24.7961
0.004902155,39.4526525,0.004902073,41.657
0.004902452,135.8203865,0.004902387,146.1146
0.004902279,74.19662324,0.004902405,69.2588
0.004902334,20.7687015,0.004902169,17.0276
0.004902279,89.63009894,0.00490231,82.5023
0.004902504,105.3859925,0.004902854,100.7878
0.004902882,23.516434,0.004902619,31.8542
0.004902882,22.4836075,0.004902374,25.0492
0.004902504,83.79861567,0.004902451,83.3754
0.004904133,201.3222235,0.004904142,185.2873
0.004902504,91.5656045,0.004902506,87.4745
0.004902882,25.7128855,0.004902356,14.506
0.004904133,177.213389,0.0049042,184.3759
0.004902156,145.6378955,0.004902269,138.8675
0.004902156,111.345888,0.004902122,103.5095
0.004902083,52.80641443,0.004902223,58.3729
0.004902179,11.2967355,0.004902191,10.1334
0.004905025,208.26999,0.004903558,218.0661
0.004904133,156.822396,0.004902922,171.0999
0.004902996,98.8568295,0.004902613,95.4693
0.004904133,157.9845755,0.00490349,157.2147
0.004915656,326.523208,0.004910121,220.5293
0.004915656,325.533206,0.004920289,353.5041
0.004917156,164.7455745,0.004920255,167.634
0.004915656,354.905441,0.004916127,401.0421
0.004902222,125.451011,0.004902497,124.903
0.004902185,70.2339825,0.004902168,70.9258
0.004902248,42.6073555,0.004902268,42.535
0.004902222,121.0952875,0.00490235,119.6614
0.004902433,67.730798,0.004902237,58.3214
0.004902828,129.8780832,0.004902612,135.1765
0.004902433,64.7788085,0.004902833,74.1387
0.004902705,103.6808163,0.004902307,101.1294
0.004902882,158.1296775,0.004902791,174.6319
0.00490984,250.264528,0.004910024,244.4611
0.004906439,139.5320665,0.004907946,133.0854
0.004904452,51.1148925,0.004903206,48.9371
0.00490984,277.834996,0.004909254,296.7101
